judul,penulis,dosen_1,dosen_2,abstrak_ID,abstrak_EN
PENGGUNAAN ANALISIS ALTMAN Z-SCORE UNTUK MENILAI TINGKAT KEBANGKRUTAN PADA PERUSAHAAN MAKANAN DAN MINUMAN YANG TERDAFTAR DI BURSA EFEK INDONESIA,Penulis : Ahmad Khoirul Umam,Dosen Pembimbing I : R. Gatot Heru Pranjoto ,Dosen Pembimbing II :Prasetyo Nugroho ,"Tujuan penelitian ini adalah untuk mengetahui tingkat kebangkrutan perusahaan makanan dan minuman yang terdaftar di Bursa Efek Indonesia. Dengan melakukan penelitian ini, maka dapat dilihat  perusahaan tersebut dalam kondisi bangkrut atau tidak yang menggunakan analisis Altman dilakukan untuk memperoleh peringatan awal terhadap tanda-tanda kebangkrutan.. Metode penelitian yang digunakan dalam penelitian ini adalah metode diskriptif . Peneliti mengambil perusahaan makanan dan minuman yang terdaftar di Bursa Efek Indonesia periode 2007-2011 yang berjumlah 14 perusahaan yang dijadikan sebagai populasi penelitian . Penelitian ini menggunakan teknik purposive sampling yang menghasilkan 12 perusahaan sebagai sampel penelitian. Hasil dari penelitian yang menggunakan analisis Altman (z-score) pada 12 perusahaan makanan dan minuman yang terdaftar di Bursa Efek Indonesia tersebut, pada tahun 2007 terdapat 3 perusahaan bangkrut, 6 perusahaan kritis dan 3 perusahaan sehat. Pada 2008 terdapat 4 perusahaan bangkrut, 5 perusahaan kritis dan 3 perusahaan sehat. Pada 2009 terdapat 4 perusahaan bangkrut, 3 perusahaan kritis, dan 5 perusahaan sehat. Pada 2010 terdapat 4 perusahaan bangkrut, 4 perusahaan kritis, dan 4 perusahaan sehat. Pada 2011 terdapat 3 perusahaan, 6 perusahaan kritis, dan 3 perusahaan sehat.
Kata Kunci : Kebangkrutan, Analisis Altman (z-score)","The purpose of this study was to determine the level of food and beverage company's bankruptcy listed on the Indonesia Stock Exchange. By doing this research, it can be seen the company is in a state of bankruptcy or not. It used Altman analysis conducted to obtain early warning for signs of bankruptcy. The research method used in this research is descriptive method. Researchers took the food and beverage company listed on the Indonesia Stock Exchange 2007-2011 period totaling 14 companies that serve as the study population. This study used purposive sampling technique that produces 12 companies as a sample. Results from studies using Altman analysis (z-score) in 12 food and beverage company listed on the Indonesia Stock Exchange, in 2007 there were 3 companies went bankrupt, 6 critical enterprise and 3 healthy company. In 2008, there were 4 companies went bankrupt, 5 critical enterprise and 3 healthy company. In 2009, there were 4 companies went bankrupt, 3 critical enterprise, and 5 healthy company. In 2010, there were 4 companies went bankrupt, 4 critical enterprise, and 4 healthy company. In 2011 there were 3 companies went bankrupt, 6 critical enterprise, and 3 healthy company
Keywords: Bankruptcy, Altman analysis (Z-Score)
"
"
PENGARUH LOKASI USAHA DAN KUALITAS PELAYANAN TERHADAP KEPUTUSAN PEMBELIAN DI RUMAH MAKAN
(Studi Pada Rumah Makan Depot Soto Asih Jaya Lamongan)
",Penulis : Tri Suci Rahmawati,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM","Dosen Pembimbing II :Nirma Kurriwati, SP.M.Si                    ","Intention of this research is to know influence of location of[is effort ( X1). and service quality (X2).Terhadap decision of purchasing (Y) and also to know variable [which/such] having bigger pPengaruh [at] decision of purchasing at home Eat Depot of Soto Glorious Asih of Lamongan. This Research use quantitative method with approach of survey.
this Research population is entire/all consumer [doing/conducting] purchasing at home Eat Depot of Soto Glorious Asih of Lamongan. Method the used is method of accidental sampling, hence this research get 60 responder. Method data collecting research into library.
Result of this research mention location of is effort (X1) and service quality (X2) influence variable tied that is decision of purchasing ( Y).
While result of from test of t Parsial prove that free variable consisting of location of[is effort ( X1) and service quality ( X2) by simultan or together influence variable decision of purchasing ( Y). Of this parsial research can be concluded that from both free variable a location of is effort (X1) which have bigger influence to decision of purchasing ( Y) is the quality of service ( X2).

Keywords: Business Location, quality of service, Purchase Decision","Tujuan dari penelitian ini adalah untuk mengetahui pengaruh lokasi usaha (X1). dan kualitas pelayanan (X2).terhadap keputusan pembelian (Y), serta untuk mengetahui variabel manakah yang mempunyai Pengaruh lebih besar pada keputusan pembelian di Rumah Makan Depot Soto Asih Jaya Lamongan.
Penelitian ini menggunakan metode kuantitatif dengan pendekatan survei. Populasi penelitian ini adalah seluruh konsumen yang melakukan pembelian di Rumah Makan Depot Soto Asih Jaya Lamongan.Metode yang digunakan adalah metode accidental sampling.Sampel yang digunakan 60 responden. Penelitian ini menggunakan alat analisis .
Hasil penelitian ini menunjukan bahwa lokasi usaha (X1) dan kualitas pelayanan (X2) mempengaruhi keputusan pembelian (Y). Hasil dari uji parsial membuktikan bahwa variabel bebas yang terdiri dari lokasi usaha (X1) mempengaruhi keputusan pembelian (Y) dan variabel kualitas pelayanan (X2) .

Kata kunci : Lokasi Usaha, Kualitas pelayanan, Keputusan Pembelian"
Pengaruh Bauran Pemasaran Terhadap Keputusan Pembelian Produk XL di Kecamatan Bangkalan,Penulis : Mahrus Saleh,"Dosen Pembimbing I : Dr.H Pribanus Wantara, Drs, MM","Dosen Pembimbing II :Hadi Purnomo, SE., MM","Objek penelitian ini adalah pembelian produk XL di Kecamatan  Bangkalan dengan sampel sebanyak 50 konsumen. Teknik analisis data yang digunakan untuk meguji hipotesis ini adalah menggunakan regresi Linier Berganda dengan memakai uji F dan uji t. Berdasar hasil penelitian model regresi Linier Berganda secara sistematis.
Hasil analisis penelitian menunjukkan secara simultan dengan menggunakan uji F bauran pemasaran yang terdiri dari produk, harga, promosi, dan distribusi secara bersama-sama mempunyai pengaruh signifikan terhadap keputusan pembelian Pada produk XL di Kecamatan Bangkalan.Secara parsial dengan menggunakan uji t menunjukkan bahwa variabel promosi dan distribusi berpengaruh signifikan, sedangkan variabel produk dan harga tidak berpengaruh signifikan terhadap keputusan pembelian Pada produk XL di Kecamatan Bangkalan. Variabel distribusi berpengaruh terhadap keputusan pembelian. Sehingga dapat disimpulkan bahwa untuk meningkatkan keputusan pembelian produk XL di Kecamatan Bangkalan harus meningkatkan Strategi Bauran Pemasaran dari segi promosi dan distribusi.
","Object this research is consumer product of XL in Kecamatan Bangkalan with a sample of 50 consumers. Data of analysis techniques are used to test this hypothesis is to use Multiple linear regression using the F test and t test. Based on the research results of Multiple Linear regression.
This analyzes research results expressed simultaneously by using the F test marketing mix consists of product, price, promotion, and distribution of jointly have a significant influence on purchase decisions on product of XL in Kecamatan Bangkalan. Partially by using the t test showed that the variables have a significant promotion and distribution, while the variable product and the price does not significantly influence the purchase decision on product of XL in Kecamatan Bangkalan. While the variable distribution is the dominant variable affecting the purchase decision. So it can be concluded that in order to enhance the buying decision should increase the product of XL in Kecamatan Bangkalan Marketing Mix Strategy in terms of promotion and distribution. 
"
ANALISIS PERBEDAAN PERGERAKAN HARGA SAHAM DAN VOLUME PERDAGANGAN SAHAM SEBELUM DAN SESUDAH KEBIJAKAN PEMECAHAN SAHAM (STOCK SPLIT) DI BURSA EFEK INDONESIA TAHUN 2007-2011,Penulis : AGUS NURLAILI,Dosen Pembimbing I : Bambang Sudarsono ,Dosen Pembimbing II :Prasetyo Nugroho,"Kenaikan harga yang terlalu tinggi, akan menyebabkan permintaan terhadap pembelian saham tersebut mengalami penurunan dan pada akhirnya dapat menyebabkan harga saham tersebut menjadi tidak fluk-tuatif lagi. Untuk menghindari kondisi tersebut, maka yang dilakukan oleh perusahaan adalah menurunkan harga saham pada kisaran harga yang menarik minat investor untuk membeli yaitu melalui pemecahan saham (stock split). Pada dasarnya penelitian mengenai stock split sudah sering dilakukan. Namun permasalahan dalam penelitian ini adalah adanya hasil penelitian yang berbeda-beda, maka diperlukan penelitian lebih lanjut. Penelitian ini dilakukan pada 23 perusahaan yang terdaftar di BEI yang melakukan pemecahan saham pada tahun 2007 – 2011. Penelitian ini menggunakan analisis uji paired sample test dengan periode pengamatan adalah 20 hari yaitu t = -10 (10 hari sebelum stock split) dan t = 10 (10 hari sesudah stock split). Metode penetuan sampel menggunakan purposive sampling. Berdasarkan hasil penelitian ini bahwa pada hipotesis pertama tidak terdapat perbedaan rata-rata return saham  sebelum dan sesudah pemecahan saham. Sedangkan hipotesis kedua menunjukkan terdapat perbedaan TVA sebelum dan sesudah pemecahan saham. Artinya harga saham yang tidak terlalu tinggi membuat volume perdagangan saham semakin meningkat

Kata kunci: stock split, pergerakan harga saham, volume perdagangan saham (TVA).
","The price increase is too high, it will cause the demand for the purchase of these shares has decreased and eventuallycan cause the stock price becomesfluk-tuatifagain. To avoid this condition, it is done by the company is lowering the price of the stock at that price range to attract investors to buy is through a stock split (stock split). Basically research on stock splitsare often made. But the problem of this research is the results of different  studies, it would require further research.The study  was conducted on 23 companies listed on the Stock Exchange stock split  in the year 2007 to 2011.This study used analysis of  paired sample test trials with the observation period  was 20 days ie t = -10  (10 days before the stock split) and t =10(10 days after the stock split). Determination method of sample using purposive sampling.Based on the results of this study that  the first hypothesis is  there is no difference in the average stock returns before and after the stock split. While the second hypothesis  suggests there is a difference TVA before and after the stock split. This means that stock prices  are not too high to make stock trading volume has increased

Keywords: stock split,  stockprice movement, trading volume activity (TVA).
"
Pengaruh Ekuitas Merek Terhadap Keputusan Pembelian Notebook Acer,Penulis : Habibah,"Dosen Pembimbing I : Bambang Setiyo P., S.E,. MM.","Dosen Pembimbing II :Suyono S.E, M.S.M","Habibah, “Pengaruh Ekuitas Merek Terhadap Keputusan Pembelian Notebook Acer”. Dibawah bimbingan Bapak Bambang Setiyo Pambudi, SE., MM. dan Bapak Suyono, SE., M.SM.
	Notebook merek Acer merupakan notebook yang mempunyai ekuitas merek yang baik. Ini dibuktikan dengan penguasaan Acer hamper 43,2% pada pasar notebook di Indonesia. Dari dasar kenyataan yang ada di pasar, penelitian ini mempunyai tujuan mengetahui seberapa besar ekuitas merek menurut persepsi konsumen. Dan untuk lokasi penelitiannya dilaksanakan di Fakultas Ekonomi Universitas Trunojoyo Madura.
	Penelitan ini merupakan penelitan kuantitatif dengan pendekatan survey jumlah sampel 60 konsumen. Pada penelitian ini variabel bebasnya terdiri dari kesadaran merek, asosiasi merek, persepsi kualitas, loyalitas merek, persepsi nilai. Sedangkan variabel terikatnya keputusan pembelian konsumen. Metode penelitian sampel yang digunakan adalah purposive sampling. Untuk pengujian instrument menggunakan uji Validitas, Realibilitas dan uji Asumsi Klasik. Sedangkan metode analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t.
	Hasil penelitan menunjukkan bahwa variabel nilai adjusted R Square sebesar 0,640 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 64,0 sedangkan sisanya 36,0% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel Ekuitas Merek yang terdiri dari dari kesadaran merek, asosiasi merek, persepsi kualitas, loyalitas merek, dan persepsi nilai secara simultan berpengaruh signifikan terhadap keputusan pembelian pada Mahasiswa Fakultas Ekonomi Universitas Trunojoyo Madura. Berdasarkan uji t diketahui bahwa secara parsial kesadaran merek, asosiasi merek, persepsi kualitas, loyalitas merek, dan persepsi nilai berpengaruh signifikan terhadap variabel terikat sedangkan variabel persepsi nilai berpengaruh terhadap variabel terikat. Variabel yang berpengaruh dominan adalah persepsi kualitas.

Kata kunci: Ekuitas merek dan Keputusan Pembelian.
","Habibah. ""The Effect of Brand Equity on Consumers’ Decision of Buying Acer Notebook” Thesis Advisors: Bambang Setiyo Pambudi, SE., MM. and Suyono, SE., M.SM.
Acer Notebook has good brand equity. It is proven by Acer market share on nearly 43.2% in Indonesia notebook market. Based on the fact, this study was aimed at finding out how big was brand equity according to the consumers’ perceptions. This study was conducted at the Faculty of Economics, University of Trunojoyo Madura.
This research applied quantitative method. The samples were taken purposively as many as 60 consumers. In this study, the independent variables were brand awareness, brand associations, quality perception, brand loyalty, and value perception. The dependent variable was consumers’ purchasing decisions. This study applied classical assumption, reliability and validity Test. The method in analyzing the data to test the hypothesis was multiple linear regressions by using F-test and T-test.
The results showed that the variable value of adjusted R Square was 0.640, meant the influence of independent variables to the dependent variable was 64.0, while the remaining variable value was 36.0%, and meant it was influenced by other variables that were not examined in this study. Based on F-test, the variables of brand equity such as brand awareness, brand associations, quality perceptions, brand loyalty, and value perceptions, simultaneously have significant influence to purchasing decisions on the Faculty of Economics, University of Trunojoyo Madura. Based on T-test, the brand awareness, brand associations, quality perception, brand loyalty, and value perception have significant effect on the dependent variable partially while the variable of value perception affected the dependent variable. The dominant variable was the quality perceptions.

Keywords: brand equity and purchasing decisions.
"
PENGARUH BUNDLINGSTRATEGY TERHADAP KEPUTUSAN PEMBELIAN PADA RESTORAN QUICK CHICKEN CAB. RAYA DUKUH KUPANG  SURABAYA,Penulis : Kristin Ningrum,Dosen Pembimbing I : Pribanus Wantara,Dosen Pembimbing II :Yustina Chrismardani ,"Pengaruh Bundling Strategy Terhadap Keputusan Pembelian Pada Restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya.Dibimbing oleh Pribanus Wantara dan Yustina Chrismardani.

	Tujuan dari penelitian ini adalah untuk mengetahui pengaruh bundling strategy yang terdiri dari focus bundling (X1) dan form bundling (X2) terhadap keputusan pembelian (Y) serta untuk mengetahui variabel manakah yang mempunyai pengaruh lebih besar pada bundling strategy pada produk makanan cepat saji pada restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya.
	Populasi penelitian ini adalah seluruh konsumen yang membeli makanan cepat saji dalam bentuk bundling atau paketan pada restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya.Metode yang digunakan dalam penelitian ini adalah metode accidental sampling, dengan jumlah responden sebanyak 60 responden dan penelitian dilakukan pada bulan desember 2012. Metode pengumpulan data dengan cara penelitian lapang dengan mebagikan kuesioner dan riset perpustakaan. Teknik pengolahan data mengunakan bantuan perangkat lunak SPSS versi 16.0 for windows dan menggunakan skala likert.
Hasil penelitian ini menyebutkan bahwa hasil uji F (simultan) menunjukan bahwa variabel bebas yang terdiri dari focus bundling (X1) dan form bundling (X2) mempengaruhi variabel terikat yaitu keputusan pembelian (Y) produk makanan cepat saji dalam bentuk paketan pada restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya.
Hasil dari uji t (parsial)  membuktikan bahwa variabel bebas yang terdiri dari focus bundling (X1)  dan form bundling (X2) berpengaruh signifikan terhadap keputusan pembelian (Y) produk makanan cepat saji dalam bentuk paketan pada restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya.
Dapat disimpulkan bahwa dari kedua variabel bebas yang mempunyai pengaruh lebih besar terhadap keputusan pembelian (Y) produk makanan cepat saji dalam bentuk paketan pada restoran Quick Chicken Cabang Raya Dukuh Kupang Surabaya adalah focus bundling (X1).

Kata Kunci: Bundling Strategy dan Keputusan Pembelian","The effect Of the Bundling Strategy towards the Purchase Decision At Restaurant of Quick Chicken branch Dukuh Kupang Surabaya. Guided by Pribanus Wantara and  Yustina Chrismardani.

The aimed of this research were to find the influence of bundling strategy was consist of bundling focus (X1) and form bundling (X2) towards purchase decision (Y) and also to find variable which have the bigger effect towards bundling strategy at restaurant of Quick Chicken branch Dukuh Kupang Surabaya.
The Population of this Research was all of the consumer who buy the fast food in the form of bundling package at restaurant of Quick Chicken branch Dukuh Kupang Surabaya. The Method used in this research was the accidental sampling, by 60 respondents and the research done in december 2012. The data collecting method were collecting quecioner and library research. The Data-Processing technique was used software of SPSS version 16.0 windows used scale of likert.
The result of this research were the bundling focus (X1) and the form bundling (X2) effected the purchase decision (Y) of product fast food at restaurant of At Restaurant of Quick Chicken branchDukuh Kupang Surabaya.
The result from test of t (partial) proved the bundling focus (X1) and the form bundling (X2) had an significant effect towards purchase decision (Y) of product fast food at restaurant ofQuick Chicken branch Dukuh Kupang Surabaya.
It could be concluded that from both free variable which have bigger influence towards purchase decision (Y) of product fast food at restaurant of Quick Chicken branch Dukuh Kupang Surabaya.

Keyword: Bundling Strategy and Purchase Decision.
"
Pengaruh Harga dan Kualitas Produk Terhadap Keputusan Pembelian Pada Deterjen Rinso Anti Noda (Studi Pada Mahasiswa Universitas Trunojoyo Madura yang Berdomisili di Desa Telang Bangkalan),Penulis : Eka Kurniawan Putra,"Dosen Pembimbing I : Dr.H.Pribanus Wantara, Drs., MM.","Dosen Pembimbing II :Hadi Purnomo, S.E., MM.","ABSTRAK
Tujuan penelitian ini adalah (1) untuk mengetahui harga dan kualitas produk berpengaruh secara simultan terhadap keputusan pembelian pada deterjen Rinso Anti Noda, (2) untuk mengetahui harga dan kualitas produk berpengaruh secara parsial terhadap keputusan pembelian pada deterjen Rinso Anti Noda dan (3) untuk mengetahui variabel yang berpengaruh dominan terhadap keputusan  pembelian pada deterjen Rinso Anti Noda.
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,734 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 73,4%, sedangkan sisanya 26,6% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F harga dan kualitas produk secara simultan berpengaruh signifikan terhadap keputusan pembelian pada deterjen Rinso Anti Noda (studi pada mahasiswa Universitas Trunojoyo Madura yang berdomisili di desa Telang Bangkalan). Berdasarkan uji t diketahui bahwa secara parsial variabel harga dan kualitas produk berpengaruh signifikan terhadap variabel terikat. Variabel yang berpengaruh dominan adalah variabel harga.
Kata Kunci: Harga, kualitas produk, dan keputusan pembelian.
","ABSTRACT
The purposes of this study were: (1) to find out whether the price and the quality of the product simultaneously affect the customers on buying Rinso Anti Noda Detergent, (2) to find out whether the price and the quality of the product partially affect the customers on buying Rinso Anti Noda Detergent, (3) to find out which variables that had dominant effect on buying Rinso Anti Noda Detergent.
The result showed that the value of adjusted R Square is 0.734, meant the influence of independent variables on the dependent variables was 73.4%, while the remaining values was 26.6%, meant that the values was influenced by other variables that werenot examined in this study. Based on the F-test, the price and quality product simultaneously influence to customers on buying Rinso Anti Noda Detergent significantly. Based on the t-test, the price and quality product had a significant effect on the dependent variable partially. The dominant variable was the price.
Keywords: Price, product quality and purchasing decisions."
Pengaruh Atribut Produk Terhadap Keputusan Pembelian Sepeda Motor HONDA Supra X 125 (Studi Pada Dealer Surya Agung Motor Bangkalan),Penulis : Nurus Sholehah,"Dosen Pembimbing I : Bambang Setiyo P., S.E,. MM.","Dosen Pembimbing II :Suyono S.E, M.S.M","Atribut produk memberikan pandangan atau gambaran yang jelas tentang produk itu sendiri. Dealer Surya Agung Motor Bangkalan merupakan salah satu dealer resmi HONDA yang bergerak dalam penjualan sepeda motor yang perlu memperhatikan perilaku konsumen untuk mengambil keputusan pembelian. Atribut produk menggunakan teori Kotler & Armstrong (2007:347) yang terdiri dari kualitas produk, fitur produk, serta gaya dan desain produk.
Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi atribut produk dalam memutuskan untuk membeli sepeda motor HONDA Supra X125 baik parsial maupun simultan.
Penelitian ini menggunakan metode kuantitatif dimana populasi dalam penelitian ini adalah konsumen sepeda motor HONDA Supra X 125 pada Dealer Surya Agung Motor Bangkalan dan diperoleh sampel 40 responden yang diambil dengan menggunakan metode purposive sampling dengan cara menyebarkan kuesioner.
Hipotesis penelitian ini adalah variabel-variabel dari atribut produk yang mempengaruhi keputusan pembelian seperti kualitas produk, fitur produk, serta gaya dan desain produk berpengaruh secara signifikan terhadap keputusan pembelian sepeda motor HONDA Supra X 125 baik secara simultan maupun parsial.
Hasil penelitian ini menunjukkan bahwa (1) uji F variabel bebas atribut produk yang terdiri dari kualitas produk, fitur produk, serta gaya dan desain produk berpengaruh secara simultan terhadap keputusan pembelian sepeda motor HONDA Supra X 125 (studi pada Dealer Surya Agung Motor Bangkalan). (2) Uji t diketahui bahwa  secara parsial variabel kualitas produk, fitur produk, serta gaya dan desain produk terhadap keputusan pembelian sepeda motor HONDA Supra X 125 (studi pada Dealer Surya Agung Motor Bangkalan). (3) secara parsial variabel kualitas produk mempunyah pengaruh dominan terhadap keputusan pembelian sepeda motor HONDA Supra X 125 (studi pada Dealer Surya Agung Motor Bangkalan).


Kata Kunci : Atribut Produk dan Keputusan pembelian.
","Product attributes provide a clear explanation about the product itself. Surya Agung Motor Dealer Bangkalan is one of HONDA authorized dealers that selling motorcycles so, the consumers’ behavior on decisions of buying the product is important to be observed. This study applied the theory of product attribute from Kotler & Armstrong (2007:347) who argued that product attributes consist of product quality, product features, product style and design.
The purpose of this study was to identify the variables that affect the buyers in deciding to buy Honda Supra X125 motorcycles either partially or simultaneously. 
The study applied quantitative method. The population in this study was consumers of HONDA Supra X125 motorcycles on Surya Agung Motor Dealer Bangkalan. Samples were obtained purposively as many as 40 respondents. The data were taken by using questionnaires.
The hypotheses are the variables of product attributes such as product quality, product features, style and design of products showed a significant influence on consumers’ decision to buy HONDA Supra X125 motorcycles either simultaneously or partially.
The results of the study were (1) F-test of independent variables consisting of product quality, product features, product style and design influenced simultaneously to the consumers’ decisions of buying HONDA Supra X125 motorcycles (studies on Surya Agung Motor Dealer Bangkalan). (2) T-Test showed that, partially, the product quality, product features, product style and design influence simultaneously to the consumers’ decisions of buying HONDA Supra X125 motorcycles (studies on Surya Agung Motor Dealer Bangkalan). (3) Partially, product quality has a dominant influence to consumers’ decisions of buying HONDA Supra X125 motorcycles (studies on Surya Agung Motor Dealer Bangkalan).


Keywords: Product attributes and purchasing decisions
"
PENGARUH KUALITAS PELAYANAN TERHADAP KEPUASAN PASIEN PADA RUMAH SAKIT UMUM TERPADU SURABAYA,Penulis : Annisa Lupita Rachmi Widhiastuti,"Dosen Pembimbing I : Dr. H. Muh. Syarif. Drs Ec., MM","Dosen Pembimbing II :Yustina Chrismardani. S.Si., MM","ABSTRAK

Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel kualitas pelayanan yang terdiri dari profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5), service recovery (X6), dan serviscape (X7)  terhadap kepuasan pasien (Y) pada Rumah Sakit Umum Terpadu Surabaya dan untuk mengetahui variabel kualitas pelayanan yang berpengaruh lebih besar terhadap kepuasan pasien Rumah Sakit Umum Terpadu Surabaya.. 
Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,540 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 54%, sedangkan sisanya 46% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel variabel kualitas pelayanan yang terdiri dari profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5), service recovery (X6), dan servisecape (X7) secara simultan berpengaruh signifikan terhadap terhadap kepuasan pasien (Y) pada Rumah Sakit Umum Terpadu Surabaya. Berdasarkan uji t diketahui bahwa secara parsial variabel profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5) dan servisecape (X7)  tidak berpengaruh signifikan terhadap variabel terikat sedangkan variabel service recovery (X6) berpengaruh signifikan terhadap kepuasan pasien (Y) Rumah Sakit Umum Terpadu Surabaya. Variabel yang berpengaruh lebih besar adalah variabel service recovery (X6).
Kata kunci : Kualitas Pelayanan dan Kepuasan Pasien.
","ABSTRACT
The purpose of this study was to find the influence of the quality service that consists of professionalism and skill (X1), the attitudes and behaviors (X2), accessibility and flexibility (X3), reliability and belief (X4), reputation and credibility (X5), service recovery (X6), and serviscape (X7)  to customer satisfaction patients (Y) in the Rumah Sakit Umum Terpadu Surabaya  and to find the quality service variables that has bigger influece toward patien  satisfaction Rumah Sakit Umum Terpadu Surabaya.
The result or showed that the value of R Square was 0.540 which mean the influence of the independent variables to the dependent  variable, was 54 %, while the remaining of  (46 %)  was  influenced by other variables thar were  not examined in this study. Based on the F-test,  the service  quality variables that consists of professionalism and skill (X1), attitudes and behaviors (X2), accessibility and flexibility (X3), reliability and belief (X4), reputation and credibility (X5), service recovery (X6), and servisecape (X7) had the significant effect on the patients satisfaction (Y) in  Rumah Sakit Umum Terpadu  Surabaya. Based on the T-test, partially,  professionalism and skill (X1), attitudes and behaviors (X2), accessibility and flexibility (X3), reliability and belief (X4), reputation and credibility (X5) and servisecape (X7) had no significantly effects on the dependent variable while variables the service recovery (X6) significantly influenced patient satisfaction to (Y). Variable that has greater influence was service recovery (X6).
Keywords : Service Quality and patient Satisfaction 
"
PENGARUH IKLAN TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN HELM MEREK INK DI BANGKALAN,Penulis : MOHAMMAD YUNUS,"Dosen Pembimbing I : BAMBANG SETIYO PAMBUDI, SE., MM.","Dosen Pembimbing II :SUYONO, SE. MSM.","Tujuan penlitian ini adalah (1) untuk mengetahui apakah variabel iklan berdasarkan konsep AIDA berpengaruh signifikan terhadap keputusan pembelian helm INK di kota Bangkalan, (2) untuk mengetahui variabel konsep iklan AIDA manakah yang berpengaruh paling dominan terhadap keputusan pembelian helm INK di kota Bangkalan.
Penelitian ini menggunakan pendekatan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh iklan terhadap keputusan pembelian konsumen helm INK di Bangkalan. Teknik pengambilan sampel menggunakan purposive sampling dengan 50 responden. Teknik pengumpulan data yaitu dengan kuesioner, kepustakaan dan menggunakan skala likert untuk mengukur jawaban responden. Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik. Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel iklan yang terdiri dari attention, interest, desire dan action berpengaruh secara simultan terhadap keputusan pembelian konsumen helm INK di Bangkalan. Variabel attention berpengaruh paling dominan terhadap keputusan pembelian konsumen helm INK di Bangkalan.
Kata Kunci : Iklan, attention, interest, desire, action dan keputusan pembelian konsumen
","The purpose of these studies is to determine (1) whether the variable ads based on the concept of AIDA influential significantly to helmet purchasing decision in the town of Bangkalan INK, (2) to find out where is the concept of variables that influence the AIDA ad most dominant against a helmet purchasing decision INK in the town of Bangkalan.
This research uses a quantitative approach approach that seeks to find out how advertising influences on consumer purchasing decisions helmet INK in Bangkalan. The sampling technique using a purposive sampling with 50 respondents. Data collection techniques including questionnaire, the library and use the likert scale to measure the respondent's answers. To test the validity of the test instrument use, reliability testing, and test the classical assumptions. While the data analysis techniques using multiple linear regression analysis for variables that are used more than two variables, with the F-test and t-test.
Results of this study indicate that the variable ads consisting of attention, interest, desire and action take effect simultaneously on the purchasing decisions of consumers helmet INK in Bangkalan. The most influential variables are the predominant attention to consumer purchasing decisions helmet INK in Bangkalan.
Keywords: Advertising, attention, interest, desire, action and consumer purchasing decisions
"
